Chemicalformula,Synonyms,CAS_Number
F2O2,fluorinedioxide,7783-44-0
Fe,iron,7439-89-6
Fe(AlO2)2,iron(II)aluminate,12068-49-4
FeAs,iron(III)arsenide,12044-16-5
FeBr2,iron(II)bromide,7789-46-0
FeBr3,iron(III)bromide,10031-26-2
FeCO3,iron(II)carbonate,563-71-3
Fe(C2H3O2)2,iron(II)acetate,3094-87-9
FeCl2,iron(II)chloride,7758-94-3
FeCl2-2H2O,iron(II)chloridedihydrate,16399-77-2
FeCl2-4H2O,iron(II)chloridetetrahydrate,13478-10-9
FeCl3,iron(III)chloride,7705-08-0
FeCl3-6H2O,iron(III)chloridehexahydrate,10025-77-1
FeCr2O4,ironchromite,1308-31-2
FeF2,iron(II)fluoride,7789-28-8
FeF2-4H2O,iron(II)fluoridetetrahydrate,13940-89-1
FeF3,iron(III)fluoride,7783-50-8
FeF3-3H2O,iron(III)fluoridetrihydrate,15469-38-2
Fe(H2PO2)3,iron(III)hypophosphite,7783-84-8
FeI2,iron(II)iodide,7783-86-0
FeI3,iron(III)iodide,15600-49-4
FeMoO4,iron(II)molybdate,13718-70-2
Fe(NO3)2,iron(II)nitrate,14013-86-6
Fe(NO3)3,ferricnitrate,10421-48-4
FeO,iron(II)oxide,1345-25-1
Fe(OH)2,iron(II)hydroxide,18624-44-7
Fe(OH)3,iron(III)hydroxide,1309-33-7
FePO4,iron(III)phosphate,10045-86-0
FeS,iron(II)sulfide,1317-37-9
FeSO4,iron(II)sulfate,7720-78-7
FeSe,iron(II)selenide,1310-32-3
FeTe,iron(II)telluride,12125-63-2
FeTiO4,iron(II)titanate,12168-52-4
Fe(VO3)3,iron(III)metavanadate,65842-03-7
FeWO4,iron(II)tungstate,13870-24-1
Fe2(C2O4)3,iron(III)oxalate,19469-07-9
Fe2(CrO4)3,iron(III)chromate,10294-52-7
Fe2(Cr2O7)3,iron(III)dichromate,10294-53-8
Fe2O3,iron(III)oxide,1309-37-1
Fe2(SO4)3,iron(III)sulfate,10028-22-5
Fe2SiO4,iron(II)orthosilicate,10179-73-4
Fe3O4,"iron(II,III)oxide",1317-61-9
Fe3(PO4)2,iron(II)phosphate,14940-41-1
Fe4(Fe(CN)6)3,iron(III)ferrocyanide,14038-43-8
Fe4(P2O7)3,iron(III)pyrophosphate,10058-44-3
GaAs,gallium(III)arsenide,1303-00-0
GaBr3,gallium(III)bromide,13450-88-9
GaCl2,gallium(II)chloride,24597-12-4
GaCl3,galliumtrichloride,13450-90-3
GaF3,gallium(III)fluoride,7783-51-9
GaF3-3H2O,gallium(III)fluoridetrihydrate,22886-66-4
GaH3,gallium(III)hydride,13572-93-5
GaI3,gallium(III)iodide,13450-91-4
GaN,gallium(III)nitride,25617-97-4
Ga(NO3)3,gallium(III)nitrate,13494-90-1
GaO,gallium(II)oxide,12024-08-7
Ga(OH)3,gallium(III)hydroxide,12023-99-3
GaP,gallium(III)phosphide,12063-98-8
GaS,gallium(II)sulfide,12024-10-1
GaSb,gallium(III)antimonide,12064-03-8
GaSe,gallium(II)selenide,12024-11-2
GaTe,gallium(II)telluride,12024-14-5
Ga2Cl4,"gallium(I,III)chloride",24597-12-4
Ga2O,gallium(I)oxide,12024-20-3
Ga2O3,gallium(III)oxide,12024-21-4
Ga2S3,gallium(III)sulfide,12024-22-5
Ga2(SO4)3,gallium(III)sulfate,13494-91-2
Ga2Se3,gallium(III)selenide,12024-24-7
Ga2Te3,gallium(III)telluride,12024-27-0
GdBr3,gadolinium(III)bromide,13818-75-2
Gd(CHO2)3,gadolinium(III)formate,3252-56-0
GdCl3,gadolinium(III)chloride,10138-52-0
GdCl3-6H2O,gadolinium(III)chloridehexahydrate,19423-81-5
GdF3,gadolinium(III)fluoride,13765-26-9
GdI2,gadolinium(II)iodide,13814-72-7
GdI3,gadolinium(III)iodide,13572-98-0
GdN,gadolinium(III)nitride,25764-15-2
GdSe,gadolinium(II)selenide,12024-81-6
GdSi2,gadolinium(II)silicide,12134-75-7
Gd2O3,gadolinium(III)oxide,12064-62-9
Gd2S3,gadolinium(III)sulfide,12134-77-9
Gd2Te3,gadolinium(III)telluride,12160-99-5
GeBr2,germanium(II)bromide,24415-00-7
GeBr4,germanium(IV)bromide,13450-92-5
Ge(CH3O)4,germanium(IV)methoxide,992-91-6
GeCl2,germanium(II)chloride,10060-11-4
GeCl4,germanium(IV)chloride,10038-98-9
GeF2,germanium(II)fluoride,13940-63-1
GeF4,germanium(IV)fluoride,7783-58-6
GeH4,germanium(IV)hydride,7782-65-2
GeI2,germanium(II)iodide,13573-08-5
GeI4,germanium(IV)iodide,13450-95-8
GeO,germanium(II)oxide,20619-16-3
GeO2,germanium(IV)oxide,1310-53-8
GeS,germanium(II)sulfide,12025-32-0
GeS2,germanium(IV)sulfide,12025-34-2
GeSe,germanium(II)selenide,12065-10-0
GeSe2,germanium(IV)selenide,12065-11-1
GeTe,germanium(II)telluride,12025-39-7
Ge3N4,germanium(IV)nitride,12065-36-0
H2O,water,7732-18-5
H2SO4,sulfuricacid,7664-93-9
H3BO3,boricacid,10043-35-3
HfB2,hafniumboride,12007-23-7
HfBr4,hafniumbromide,13777-22-5
HfC,hafniumcarbide,12069-85-1
HfCl4,hafniumchloride,13499-05-3
HfF4,hafnium(IV)fluoride,13709-52-9
HfH2,hafniumhydride,12770-26-2
HfI3,hafniumiodide,13779-73-2
HfN,hafniumnitride,25817-87-2
HfO2,hafniumoxide,12055-23-1
HfP,hafniumphosphide,12325-59-6
Hf(SO4)2,hafniumsulfate,15823-43-5
HfS2,hafniumsulfide,18855-94-2
HfSe2,hafniumselenide,12162-21-9
HfSiO4,hafniumorthosilicate,13870-13-8
HfSi2,hafniumsilicide,12401-56-8
HgBr2,mercury(II)bromide,7789-47-1
Hg(C2H3O2)2,mercury(II)acetate,1600-27-7
HgCl2,mercury(II)chloride,7487-94-7
HgCl2O8,mercury(II)perchlorate,73491-34-6
HgF2,mercury(II)fluoride,7783-39-3
HgH2,mercury(II)hydride,72172-67-9
Hg(IO3)2,mercury(II)iodate,7783-32-6
HgI2,mercury(II)iodide,7774-29-0
Hg(NO3)2,mercury(II)nitrate,10045-94-0
HgO,mercury(II)oxide,21908-53-2
Hg(ONC)2,mercury(II)fulminate,628-86-4
HgS,mercury(II)sulfide,1344-48-5
Hg(SCN)2,mercury(II)thiocyanate,592-85-8
HgSO4,mercury(II)sulfate,7783-35-9
HgSe,mercury(II)selenide,20601-83-6
HgTe,mercury(II)telluride,12068-90-5
Hg2Br2,mercury(I)bromide,15385-58-7
Hg2Cl2,mercury(I)chloride,10112-91-1
Hg2F2,mercury(I)fluoride,1396-75-4
Hg2I2,mercury(I)iodide,15385-57-6
Hg2O,mercury(I)oxide,15829-53-5
HoBr3,holmiumbromide,13825-76-8
Ho(CHO2)3,holmiumformate,3252-59-3
HoCl3,holmiumchloride,10138-62-2
HoF3,holmiumfluoride,13760-78-6
HoI3,holmium(III)iodide,13813-41-7
HoN,holmiumnitride,12029-81-1
HoSi2,holmiumsilicide,12136-24-2
HoVO4,holmiumvanadate,13977-63-4
Ho2O3,holmiumoxide,12055-62-8
Ho2S3,holmiumsulfide,12162-59-3
IBr,iodinemonobromide,7789-33-5
ICl,iodinemonochloride,7790-99-0
ICl3,iodinetrichloride,865-44-1
IF,iodinemonofluoride,13873-84-2
IF3,iodine(III)fluoride,22520-96-3
IF5,iodinepentafluoride,7783-66-6
IF7,iodineheptafluoride,16921-96-3
IN3,iodinemonoazide,14696-82-3
I2O4,diiodinetetroxide,12399-08-5
I2O5,diiodinepentoxide,12029-98-0
InAs,indium(III)arsenide,1303-11-3
InBr,indium(I)bromide,14280-53-6
InBr2,indium(II)bromide,21264-43-7
InBr3,indium(III)bromide,13465-09-3
In(C2H3O2)3,indium(III)acetate,25114-58-3
InCl,indium(I)chloride,13465-10-6
InCl2,indium(II)chloride,13465-11-7
InCl3,indium(III)chloride,10025-82-8
InF,indium(I)fluoride,74508-07-9
InF3,indium(III)fluoride,7783-52-0
InF3-3H2O,indium(III)fluoridetrihydrate,14166-78-0
InF3-9H2O,indium(III)fluoridenonahydrate,7783-52-0
InH,indium(I)hydride,13939-13-4
InI,indium(I)iodide,13465-10-6
InI3,indium(III)iodide,13510-35-5
InN,indium(III)nitride,25617-98-5
In(OH)3,indium(III)hydroxide,20661-21-6
InP,indium(III)phosphide,22398-80-7
InPO4,indium(III)phosphate,14693-82-4
InS,indium(II)sulfide,12030-14-7
InSb,indium(III)antimonide,1312-41-0
InSe,indium(II)selenide,1312-42-1
InTe,indium(II)telluride,12030-19-2
In2I4,"indium(I,III)iodide",13779-78-7
In2O3,indium(III)oxide,1312-43-2
In2(SO4)3,indium(III)sulfate,13464-82-9
In2S3,indium(III)sulfide,12030-24-9
In2Se3,indium(III)selenide,1312-42-1
In2Te3,indium(III)telluride,1312-45-4
IrBr2,iridium(II)bromide,77791-70-9
IrBr3,iridium(III)bromide,10049-24-8
IrBr4,iridium(IV)bromide,7789-64-2
IrCl2,iridium(II)chloride,13465-17-3
IrCl3,iridium(III)chloride,10025-83-9
IrCl4,iridium(IV)chloride,10025-97-5
IrF3,iridium(III)fluoride,23370-59-4
IrF4,iridium(IV)fluoride,37501-24-9
IrF5,iridium(V)fluoride,14568-19-5
IrF6,iridium(VI)fluoride,7783-75-7
IrI2,iridium(II)iodide,19253-38-4
IrI3,iridium(III)iodide,7790-41-2
IrI4,iridium(IV)iodide,7790-45-6
IrO2,iridium(IV)oxide,12030-49-8
IrO2-2H2O,iridium(IV)oxidedihydrate,30980-84-8
IrS2,iridium(IV)sulfide,12030-51-2
IrSe2,iridium(IV)selenide,12030-55-6
IrTe3,iridium(VI)telluride,12196-62-2
Ir2O3,iridium(III)oxide,12030-49-8
Ir2S3,iridium(III)sulfide,12136-42-4
KAlF4,potassiumtetrafluoroaluminate,14484-69-6
KAlO2,potassiumaluminate,12003-63-3
KBF4,potassiumfluoroborate,14075-53-7
KBr,potassiumbromide,7758-02-3
KBrO3,potassiumbromate,7758-01-2
KCHF3O3S,potassiumtrifluoromethanesulfonate,2926-27-4
KCHO2,potassiumformate,590-29-4
KCH3O,potassiummethoxide,865-33-8
KCN,potassiumcyanide,151-50-8
KCNO,potassiumcyanate,590-28-3
KC2HO4,potassiumbinoxalate,127-95-7
KC2H3O2,potassiumacetate,127-08-2
KC2H5O,potassiumethoxide,917-58-8
KC3H5O2,potassiumpropionate,327-62-8
KC3H5S2O,potassiumxanthogenate,140-89-6
KC3H7NS2,potassiumdimethyldithiocarbamate,128-03-0
KC4H5O6,potassiumbitartrate,868-14-4
KC7H5O2,potassiumbenzoate,582-25-2
KCl,potassiumchloride,7447-40-7
KClO3,potassiumchlorate,3811-04-9
KClO4,potassiumperchlorate,7778-74-7
K2CuCl4,potassiumtetrachlorocuprate,13877-24-2
KF,potassiumfluoride,7789-23-3
KH,potassiumhydride,7693-26-7
KHCO3,potassiumbicarbonate,298-14-6
K(HF2),potassiumbifluoride,7789-29-9
KHSO4,potassiumbisulfate,7646-93-7
KH2PO4,potassiumdiphosphate,7778-77-0
KH4B,potassiumborohydride,13762-51-1
KI,potassiumiodide,7681-11-0
KIO3,potassiumiodate,7758-05-6
KIO4,potassiumperiodate,7790-21-8
KMnO4,potassiumpermanganate,7722-64-7
KNO2,potassiumnitrite,7758-09-0
KNO3,potassiumnitrate,7757-79-1
KN3,potassiumazide,20762-60-1
KNbO3,potassiumniobate,12030-85-2
KOH,potassiumhydroxide,1310-58-3
KO2,potassiumsuperoxide,12030-88-5
KPF6,potassiumhexafluorophosphate,17084-13-8
KPO3,potassiummetaphosphate,7790-53-6
KReO4,potassiumperrhenate,10466-65-6
KRuO4,potassiumperruthenate,10378-50-4
KSCN,potassiumthiocyanate,333-20-0
KVO3,potassiummetavanadate,13769-43-2
K2CO3,potassiumcarbonate,584-08-7
K2C2O4,potassiumoxalate,583-52-8
K2C4H6O6,potassiumtartrate,921-53-9
K2C6H8O4,potassiumadipate,19147-16-1
K2CrO4,potassiumchromate,7789-00-6
K2Cr2O7,potassiumdichromate,7778-50-9
K2FeO4,potassiumferrate,39469-86-8
K2S2O3,potassiumthiosulfate,10294-66-3
K2O,potassiumoxide,12136-45-7
K2O2,potassiumperoxide,17014-71-0
K2PdCl4,potassiumtetrachloropalladate,10025-98-6
K2RuCl6,potassiumhexachlororuthenate,18746-63-9
K2S,potassiumsulfide,1312-73-8
K2SO4,potassiumsulfate,7778-80-5
K2S2O5,potassiummetabisulfite,16731-55-8
K2S2O7,potassiumpyrosulfate,7790-62-7
K2S2O8,potassiumpersulfate,7727-21-1
K2Se,potassiumselenide,1312-74-9
K2SiF6,potassiumhexafluorosilicate,16871-90-2
K2SiO4,potassiumsilicate,10006-28-7
K2Te,potassiumtelluride,12142-40-4
K2TeO3,potassiumtellurite,15571-91-2
K2TiF6,potassiumhexafluorotitanate,16919-27-0
K2ZrF6,potassiumhexafluorozirconate,16923-95-8
K3AlF6,potassiumhexafluoroaluminate,13775-52-5
K3(Fe(CN)6),potassiumferricyanide,13746-66-2
K3PO4,potassiumphosphate,7778-53-2
K4P2O7,potassiumpyrophosphate,7320-34-5
KrF2,kryptondifluoride,13773-81-4
LaAlO3,lanthanumaluminate,71496-78-1
LaB6,lanthanumboride,12008-21-8
LaBr3,lanthanumbromide,13536-79-3
La(CHO2)3,lanthanumformate,2081-11-0
LaC2,lanthanumcarbide,12071-15-7
LaCl3,lanthanumchloride,10099-58-8
LaCl3-3H2O,lanthanumchloridetrihydrate,35564-84-2
LaCl3-7H2O,lanthanumchlorideheptahydrate,10025-84-0
LaF3,lanthanumfluoride,13709-38-1
LaH3,lanthanumhydride,13864-01-2
LaI3,lanthanumiodide,13813-22-4
LaN,lanthanumnitride,25764-10-7
LaNbO4,lanthanumniobate,12031-17-3
LaSi2,lanthanumsilicide,12056-90-5
LaVO4,lanthanumvanadate,13939-40-7
La2O3,lanthanumoxide,1312-81-8
La2S3,lanthanumsulfide,12031-49-1
LiAlH4,lithiumtetrahydridoaluminate,16853-85-3
LiAlO2,lithiumaluminate,12003-67-7
LiBF4,lithiumtetrafluoroborate,14283-07-9
LiBH4,lithiumborohydride,16949-15-8
LiBO2,lithiummetaborate,13453-69-5
LiBr,lithiumbromide,7550-35-8
LiCHO2,lithiumformate,556-63-8
LiCH3O,lithiummethoxide,865-34-9
LiC7H5O2,lithiumbenzoate,553-54-8
LiCl,lithiumchloride,7447-41-8
LiCl-H2O,lithiumchloridemonohydrate,16712-20-2
LiClO4,lithiumperchlorate,7791-03-9
LiF,lithiumfluoride,7789-24-4
LiH,lithiumhydride,7580-67-8
LiI,lithiumiodide,10377-51-2
LiI-3H2O,lithiumiodidetrihydrate,7790-22-9
LiN(C3H7)2,lithiumdiisopropylamide,4111-54-0
LiNH2,lithiumamide,7782-89-0
LiNO3,lithiumnitrate,7790-69-4
LiN3,lithiumazide,19597-69-4
LiNbO3,lithiumniobate,12031-63-9
LiOH,lithiumhydroxide,1310-65-2
LiO2,lithiumsuperoxide,12136-56-0
LiPF6,lithiumhexafluorophosphate,21324-40-3
LiPH2O4,lithiumdihydrogenphosphate,13453-80-0
LiReO4,lithiumperrhenate,13768-48-4
LiTaO3,lithiumtantalate,12031-66-2
LiVO3,lithiummetavanadate,15060-59-0
Li2B4O7,lithiumborate,12007-60-2
Li2CO3,lithiumcarbonate,554-13-2
Li2MoO4,lithiummolybdate,13568-40-6
Li2O,lithiumoxide,12057-24-8
Li2O2,lithiumperoxide,12031-80-0
Li2S,lithiumsulfide,12136-58-2
Li2SO4,lithiumsulfate,10377-48-7
Li2Se,lithiumselenide,12136-60-6
Li2SiO3,lithiummetasilicate,10102-24-6
Li2Te,lithiumtelluride,12136-59-3
Li2TiO3,lithiumtitanate,12031-82-2
Li2ZrO3,lithiumzirconate,51222-70-9
Li3AlF6,lithiumhexafluoroaluminate,13821-20-0
Li3AsO4,lithiumarsenate,13478-14-3
Li3C6H5O7,lithiumcitrate,919-16-4
Li3ClO4,lithiumperchlorate,7791-03-9
Li3N,lithiumnitride,26134-62-3
Li3PO4,lithiumphosphate,10377-52-3
Li3Sb,lithiumantimonide,12057-30-6
LuB4,lutetiumboride,12688-52-7
LuBr3,lutetiumbromide,14456-53-2
LuCl3,lutetiumchloride,10099-66-8
LuF3,lutetiumfluoride,13760-81-1
LuI3,lutetiumiodide,13813-45-1
LuN,lutetiumnitride,12125-25-6
Lu(NO3)3,lutetiumnitrate,36549-50-5
Lu2O3,lutetiumoxide,12032-20-1
Lu2S3,lutetiumsulfide,12163-20-1
Lu2Te3,lutetiumtelluride,12163-22-3
MgBr2,magnesiumbromide,7789-48-2
MgBr2-6H2O,magnesiumbromidehexahydrate,13446-53-2
MgCO3,magnesiumcarbonate,546-93-0
Mg(C2H2O2)2,magnesiumsuccinate,556-32-1
MgC3H9O6P,magnesiumglycerophosphate,927-20-8
MgC36H70O4,magnesiumstearate,557-04-0
Mg(ClO4)2,magnesiumperchlorate,10034-81-8
MgCl2,magnesiumchloride,7786-30-3
MgF2,magnesiumfluoride,7783-40-6
MgH2,magnesiumhydride,7693-27-8
MgI2,magnesiumiodide,10377-58-9
Mg(NO3)2,magnesiumnitrate,10377-60-3
MgO,magnesiumoxide,1309-48-4
Mg(OH)2,magnesiumhydroxide,1309-42-8
MgO2,magnesiumperoxide,1335-26-8
MgS,magnesiumsulfide,12032-36-9
MgSO4,magnesiumsulfate,7487-88-9
MgSe,magnesiumselenide,1313-04-8
MgSiO3,magnesiumsilicate,14654-06-9
Mg(TcO4)2,magnesiumtechnetate,71683-38-0
MgTe,magnesiumtelluride,12032-44-9
MgTiO3,magnesiumtitanate,12032-30-3
Mg2Si,magnesiumsilicide,22831-39-6
Mg3(AsO4)2,magnesiumarsenate,10103-50-1
Mg3N2,magnesiumnitride,12057-71-5
Mg3Sb2,magnesiumantimonide,12057-75-9
MnBr2,manganese(II)bromide,13446-03-2
Mn(C2H3O2)2,manganese(II)acetate,638-38-0
MnCO3,manganese(II)carbonate,598-62-9
MnCl2,manganese(II)chloride,7773-01-5
MnCl2-4H2O,manganese(II)chloridetetrahydrate,13446-34-9
MnCl3,manganese(III)chloride,14690-66-5
MnF2,manganese(II)fluoride,7782-64-1
MnF3,manganese(III)fluoride,7783-53-1
MnF4,manganese(IV)fluoride,15195-58-1
MnI2,manganese(II)iodide,7790-33-2
MnI2-4H2O,manganese(II)iodidetetrahydrate,98716-23-5
Mn(NO3)2,manganese(II)nitrate,10377-66-9
MnO,manganese(II)oxide,1344-43-0
MnO2,manganese(IV)oxide,1313-13-9
MnS,manganese(II)sulfide,18820-29-6
MnSO4,manganese(II)sulfate,10034-96-5
MnSb,manganese(III)antimonide,12032-82-5
MnSe,manganese(II)selenide,1313-22-0
MnSe2,manganese(IV)selenide,12299-98-8
MnTe,manganese(II)telluride,12032-88-1
MnTe2,manganese(IV)telluride,12032-89-2
Mn2O3,manganese(III)oxide,1317-34-6
Mn2O7,manganese(VII)oxide,12057-92-0
Mn3O4,"manganese(II,III)oxide",1317-35-7
Mn3(PO4)2,manganese(II)phosphate,14154-09-7
MoBr2,molybdenum(II)bromide,13446-56-5
MoBr3,molybdenum(III)bromide,13446-57-6
MoBr4,molybdenum(IV)bromide,13520-59-7
MoC6O6,molybdenum(III)hexacarbonyl,13939-06-5
MoCl2,molybdenum(II)chloride,13478-17-6
MoCl3,molybdenum(III)chloride,13478-18-7
MoCl4,molybdenum(IV)chloride,13478-18-7
MoCl5,molybdenum(V)chloride,10241-05-1
MoCl6,molybdenum(VI)chloride,13706-19-9
MoF3,molybdenum(III)fluoride,20193-58-2
MoF4,molybdenum(IV)fluoride,23412-45-5
MoF5,molybdenum(V)fluoride,13819-84-6
MoF6,molybdenum(VI)fluoride,7783-77-9
MoI2,molybdenum(II)iodide,14055-74-4
MoI3,molybdenum(III)iodide,14055-75-5
MoI4,molybdenum(IV)iodide,14055-76-6
MoN,molybdenum(III)nitride,12033-19-1
MoO,molybdenum(II)oxide,12058-07-0
MoO2,molybdenum(IV)oxide,18868-43-4
MoO3,molybdenum(VI)oxide,1313-27-5
MoS2,molybdenum(IV)sulfide,1317-33-5
MoSe2,molybdenum(IV)selenide,12058-18-3
MoSi2,molybdenum(IV)silicide,12136-78-6
MoTe2,molybdenum(IV)telluride,12058-20-7
Mo2O3,molybdenum(III)oxide,1313-29-7
Mo2O5,molybdenum(V)oxide,12163-73-4
Mo2S3,molybdenum(III)sulfide,12033-33-9
NBr3,nitrogentribromide,15162-90-0
NCl3,nitrogentrichloride,10025-85-1
NF3,nitrogentrifluoride,7783-54-2
NH3,ammonia,7664-41-7
NH4Cl,ammoniumchloride,12125-02-9
NH4HCO3,ammoniumbicarbonate,1066-33-7
NH4NO3,ammoniumnitrate,6484-52-2
NH4OH,ammoniumhydroxide,1336-21-6
(NH4)2SO4,ammoniumsulfate,7783-20-2
NI3,nitrogentriiodide,13444-85-4
NO,nitrogenmonoxide,10102-43-9
NO2,nitrogendioxide,10102-44-0
N2,nitrogen,7727-37-9[1]
N2F2,dinitrogendifluoride,13812-43-6
N2F4,dinitrogentetrafluoride,10036-47-2
N2O,dinitrogenmonoxide,10024-97-2
N2O3,dinitrogentrioxide,10544-73-7
N2O4,dinitrogentetroxide,10544-72-6
N2O5,dinitrogenpentoxide,10102-03-1
NaAlCl4,sodiumtetracholoraluminate,7784-16-9
NaAlF4,sodiumtetrafluoroaluminate,13821-15-3
NaAlO2,sodiumaluminate,1302-42-7
NaAsO2,sodiumarsenite,7784-46-5
NaB(C6H5)4,sodiumtetraphenylborate,143-66-8
NaBF4,sodiumborofluoride,13755-29-8
NaBH3CN,sodiumcyanoborohydride,25895-60-7
NaBH4,sodiumborohydride,16940-66-2
NaBiO3,sodiumbismuthate,12232-99-4
NaBr,sodiumbromide,7647-15-6
NaBrO3,sodiumbromate,7789-38-0
NaCN,sodiumcyanide,143-33-9
NaCNO,sodiumcyanate,917-61-3
NaCHO2,sodiumformate,141-53-7
NaCH3O,sodiummethoxide,124-41-4
NaCH3SO3,sodiumformaldehydesulfoxylate,149-44-0
NaC2H3FO2,sodiummonofluoroacetate,62-74-8
NaC2H3O2,sodiumacetate,127-09-3
NaC2H3SO3,sodiumethenesulfonate,3039-83-6
NaC2H5O,sodiumethoxide,141-52-6
NaC3H3O2,sodiumacrylate,7446-81-3
NaC3H5O2,sodiumpropionate,137-40-6
NaC3H5O3,sodiumlactate,312-85-6
NaC3H6NO3,sodiumhydromethylglycinate,70161-44-3
NaC4H7O4,sodiumdiacetate,126-96-5
NaC6H6SO3,sodiumbenzosulfonate,515-42-4
NaC7H5O2,sodiumbenzoate,532-32-1
NaC7H8SO3,sodiumtosylate,657-84-1
NaC8H7O2,sodiumphenylacetate,114-70-5
NaC8H9SO3,sodiumxylenesulfonate,1300-72-7
NaC8H15O2,sodiumcaprylate,1984-06-1
NaC18H36O2,sodiumstearate,822-16-2
NaCl,sodiumchloride,7647-14-5
NaClO,sodiumhypochlorite,7681-52-9
NaClO2,sodiumchlorite,7758-19-2
NaClO3,sodiumchlorate,7775-09-9
NaClO4,sodiumperchlorate,7601-89-0
NaF,sodiumfluoride,7681-49-4
NaH,sodiumhydride,7646-69-7
NaHCO3,sodiumbicarbonate,144-55-8
NaHF2,sodiumbifluoride,1333-83-1
NaHS,sodiumbisulfide,16721-80-5
NaHSO3,sodiumbisulfite,7631-90-5
NaI,sodiumiodide,7681-82-5
NaIO3,sodiumiodate,7681-55-2
NaIO4,sodiumperiodate,7790-28-5
NaNH2,sodiumamide,7782-92-5
NaNO2,sodiumnitrite,7632-00-0
NaNO3,sodiumnitrate,7631-99-4
NaN3,sodiumazide,26628-22-8
NaNbO3,sodiumniobate,12034-09-2
NaOH,sodiumhydroxide,1310-73-2
NaO2,sodiumsuperoxide,12034-12-7
NaPF6,sodiumhexafluorophosphate,21324-39-0
NaPO3,sodiumpolyphosphate,50813-16-6
(NaPO3)6,sodiumhexametaphosphate,10124-56-8
NaReO4,sodiumperrhenate,13472-33-8
NaSCN,sodiumthiocyanate,540-72-7
NaSbO3,sodiumantimonate,15432-85-6
NaVO3,sodiummetavanadate,13718-26-8
Na2B4O7,sodiumtetraborate,1330-43-4
Na2CO3,sodiumcarbonate,497-19-8
Na2C3H2O4,sodiummalonate,141-95-7
Na2C4H6O6,sodiumtartrate,6106-24-7
Na2C6H8O4,sodiumadipate,7486-38-6
Na2CrO4,sodiumchromate,7775-11-3
Na2FPO3,sodiumfluorophosphate,10163-15-2
Na2H2S2O6,sodiumdithionate,7631-94-9
Na2MoO4,sodiummolybdate,7631-95-0
Na2O,sodiumoxide,1313-59-3
Na2O2,sodiumperoxide,1313-60-6
Na2S,sodiumsulfide,1313-82-2
Na2S-5H2O,sodiumsulfidepentahydrate,1313-83-3
Na2S-9H2O,sodiumsulfidenonahydrate,1313-84-4
Na2SO3,sodiumsulfite,7757-83-7
Na2SO4,sodiumsulfate,7757-82-6
Na2S2O3,sodiumthiosulfate,7772-98-7
Na2S2O4,sodiumdithionite,7775-14-6
Na2S2O5,sodiummetabisulfite,7681-57-4
Na2S2O7,sodiumpyrosulfate,13870-29-6
Na2S2O8,sodiumpersulfate,7775-27-1
Na2Se,sodiumselenide,1313-85-5
Na2SeO3,sodiumselenite,10102-18-8
Na2SeO4,sodiumselenate,13410-01-0
Na2SiF6,sodiumfluorosilicate,16893-85-9
Na2SiO3,sodiumsilicate,6834-92-0
Na2SnO3,sodiumstannate,12058-66-1
Na2Te,sodiumtelluride,12034-41-2
Na2Ti3O7,sodiummetatitanate,12034-36-5
Na2WO4,sodiumtungstate,13472-45-2
Na3AlF6,sodiumhexafluoroaluminate,13775-53-6
Na3Co(NO2)6,sodiumcobaltnitrite,14649-73-1
Na3PO4,sodiumphosphate,7601-54-9
Na3Sb,sodiumantimonide,12058-86-5
Na3SbS4,sodiumthioantimonide,13776-84-6
Na3VO4,sodiumvanadate,13721-39-6
Na4C4H4O6,sodiumtartrate,868-18-8
Na4FeC6N6,sodiumferrocyanide,13601-19-9
Na4P2O7,sodiumpyrophosphate,7722-88-5
Na4SiO4,sodiumorthosilicate,1344-09-8
Na5P3O10,sodiumtripolyphosphate,7758-29-4
NbBr3,niobium(III)bromide,15752-41-7
NbBr4,niobium(IV)bromide,13842-75-6
NbBr5,niobium(V)bromide,13478-45-0
NbC,niobium(IV)carbide,12069-94-2
NbCl3,niobium(III)chloride,13569-59-0
NbCl4,niobium(IV)chloride,13569-70-5
NbCl5,niobium(V)chloride,10026-12-7
NbF3,niobium(III)fluoride,15195-53-6
NbF4,niobium(IV)fluoride,13842-88-1
(NbF5)4,niobium(V)fluoride,7783-68-8
NbI3,niobium(III)iodide,13870-20-7
NbI4,niobium(IV)iodide,13870-21-8
NbI5,niobium(V)iodide,13779-92-5
NbN,niobium(III)nitride,24621-21-4
NbO,niobium(II)oxide,12034-57-0
NbO2,niobium(IV)oxide,12034-59-2
NbS2,niobium(IV)sulfide,12136-97-9
NbSe2,niobium(IV)selenide,12034-77-4
NbSe3,niobium(VI)selenide,12034-78-5
NbTe2,niobium(IV)telluride,12034-83-2
Nb2O5,niobium(V)oxide,1313-96-8
Nd(CH3COO)3,neodymiumacetate,6192-13-8
NdBr2,neodymium(II)bromide,59325-04-1
NdBr3,neodymium(III)bromide,13536-80-6
Nd(CHO2)3,neodymium(III)formate,3252-53-7
NdCl2,neodymium(II)chloride,25469-93-6
NdCl3,neodymium(III)chloride,10024-93-8
NdF3,neodymium(III)fluoride,13709-42-7
NdGaO3,neodymium(III)gallate,12207-22-6
NdI2,neodymium(II)iodide,61393-36-0
NdI3,neodymium(III)iodide,13813-24-6
NdN,neodymium(III)nitride,25764-11-8
Nd(NO3)3,neodymium(III)nitrate,10045-95-1
